t2m,ssrd,e,sp,tp,year
278.24695,3110276.0,0.0006561894,96668.03,0.0031958208,2010
271.06757,2380568.0,0.00017560273,97159.69,0.0036423774,2010
275.1431,3013148.0,0.00029900298,97830.97,0.00247963,2011
275.97485,5327400.0,0.0005041389,97729.9,0.0012294332,2011
279.29047,12606298.0,0.0014897287,98079.67,0.0006733531,2011
285.18295,18371750.0,0.002738838,97861.46,0.0007519548,2011
287.44244,22181132.0,0.0030326685,97878.81,0.0010353865,2011
289.09464,18978952.0,0.0030764285,97691.97,0.0026569075,2011
288.6666,18153748.0,0.0027239146,97372.69,0.0022273145,2011
290.29077,15998148.0,0.002840531,97531.91,0.0040064645,2011
288.6471,12374439.0,0.0020167492,97761.766,0.0015377792,2011
283.3442,7640429.0,0.0010413481,98010.91,0.0013088258,2011
279.45117,4454148.0,0.00041695824,97989.74,0.00050350226,2011
277.31073,2012084.0,0.0006590355,97440.266,0.0061669047,2011
276.0747,2865236.0,0.00051744096,98094.625,0.0030033453,2012
271.47717,6442086.0,0.00018677674,98628.95,0.00063293194,2012
280.51373,12222093.0,0.0015501231,98591.58,0.0010768659,2012
280.59265,14709766.0,0.0022736602,96581.734,0.0036903438,2012
286.87448,19521640.0,0.0033855224,97557.36,0.003158555,2012
287.9043,16155936.0,0.002966878,97432.25,0.004164142,2012
289.4642,19059564.0,0.0035292413,97599.47,0.0030474092,2012
291.70242,19362344.0,0.0034596678,97698.13,0.0011836556,2012
286.89923,12821732.0,0.0019375123,97635.945,0.0027242107,2012
282.91534,7208928.5,0.0012140544,97221.61,0.0029160935,2012
278.9416,3026296.0,0.0005201511,97257.36,0.0023575681,2012
